road_address,building_name,unit_est
강원특별자치도 원주시 귀래면 녹재길 67-3,숲에향기,6.0
"강원특별자치도 원주시 소초면 백교길 105, 2,3동 지상1,2층",사랑별,4.0
"강원특별자치도 원주시 신림면 구학산로 1664-21, 1,2,3층",오로라골프&리조트별관,23.0
강원특별자치도 원주시 신림면 솔치안길 91,솔치송어파티,13.0
강원특별자치도 원주시 지정면 구재로 155,더핀란드펜션,4.0
강원특별자치도 원주시 지정면 구재로 157,더핀란드펜션B,5.0
강원특별자치도 원주시 지정면 구재로 262-6,오크앨리,12.0
"강원특별자치도 원주시 지정면 구재로 352-4, 1,2,3층",문막오크카운티,18.0
강원특별자치도 원주시 지정면 구재로 352-6,문막오크카운티,18.0
강원특별자치도 원주시 지정면 구재로 40-13,인더포레펜션,11.0
"강원특별자치도 원주시 지정면 오크밸리2길 22, 지상2층",오크빌,12.0
"강원특별자치도 원주시 지정면 원양2로 145-53, 제1~3동 1층",혜원마루(주식회사알에이엠씨원주지점),4.0
"강원특별자치도 원주시 지정면 원양2로 25-14, 1동~12동 (외1필지)",마운틴관광농원,12.0
"강원특별자치도 원주시 지정면 장지길 69-22, 1~9동",지니의캠프펜션,9.0
"강원특별자치도 원주시 지정면 지정로 1393, 나,라,카동",팔레드차밍리조트,10.0
"강원특별자치도 원주시 한가터길 107, 1,2층 (반곡동)",피아노,10.0
강원특별자치도 원주시 호저면 호저로 1277-62,원주고니골황토펜션,12.0
"강원특별자치도 원주시 흥업면 금산길 69-1, 1,2,3,4,5,6동",백운장뇌삼관광농원,6.0
강원특별자치도 정선군 고한읍 고한5길 19-5,문화여관,15.0
"강원특별자치도 정선군 고한읍 고한5길 20-1, 1,2층",안동장,8.0
"강원특별자치도 정선군 고한읍 고한5길 22, 3,4층",안동파크,14.0
강원특별자치도 정선군 고한읍 고한5길 26-3,이화펜션,14.0
"강원특별자치도 정선군 고한읍 고한로 113-1, 1층",아라리게스트하우스,4.0
강원특별자치도 정선군 고한읍 물한리길 16-20,힐링가족형펜션,9.0
"강원특별자치도 정선군 고한읍 지장천로 855, 2층",밀라노모텔,19.0
강원특별자치도 정선군 남면 낙동뒷내길 16,578프라이빗하우스,10.0
"강원특별자치도 정선군 남면 자뭇골길 198, 2층",정선스테이,5.0
강원특별자치도 정선군 남면 자뭇골길 202-1,알퐁스펜션,10.0
"강원특별자치도 정선군 남면 자뭇골길 204, 1~2층",아르떼,2.0
"강원특별자치도 정선군 남면 자뭇골길 204-1, 2층",도도펜션,6.0
강원특별자치도 정선군 남면 자뭇골길 206,메이플펜션,11.0
강원특별자치도 정선군 남면 자뭇골길 210,펀앤해피펜션,7.0
"강원특별자치도 정선군 남면 자뭇골길 212, 2층",프로방스펜션1,6.0
"강원특별자치도 정선군 남면 자뭇골길 212-4, 1,2층",프로방스펜션2,6.0
